word,empathy,distress,stemma
!,4.36839481048805,4.29180536964034,!
!!,2.33399398365416,2.23877081014407,!!
!!!,2.33399398365416,2.23877081014407,!!!
!!!!,2.33399398365416,2.23877081014407,!!!!
!!!!!!!!!!!!!!,2.33399398365416,2.23877081014407,!!!!!!!!!!!!!!
!',2.33399398365416,2.23877081014407,!'
!),2.33399398365416,2.23877081014407,!)
"!,",2.33399398365416,2.23877081014407,"!,"
!?,2.33399398365416,2.23877081014407,!?
!?!,2.33399398365416,2.23877081014407,!?!
!”,2.33399398365416,2.23877081014407,!”
"""!""""""",2.33399398365416,2.23877081014407,"""!"""""""
"""""""""",2.38476133350099,3.18264289635284,""""""""""
""""""",""",2.33399398365416,2.23877081014407,""""""","""
""""""".""",2.33399398365416,2.23877081014407,"""""""."""
"""""""?""",2.33399398365416,2.23877081014407,"""""""?"""
""",""""""",2.33399398365416,2.23877081014407,""","""""""
""".""""""",2.33399398365416,2.23877081014407,"""."""""""
""".'""""""",2.33399398365416,2.23877081014407,""".'"""""""
"""?""""""",2.33399398365416,2.23877081014407,"""?"""""""
#,3.51459465753097,3.61020693832814,#
$,1.83332724011748,2.53354443692624,$
%,3.17290187852397,3.16450958704653,%
&,4.74675392845468,3.45990232611928,&
',3.41397021997168,3.24703223406261,'
(,2.97728762244851,1.33821240014074,(
(£,2.33399398365416,2.23877081014407,(£
),2.83612544867044,1.39527668357274,)
"),",2.33399398365416,2.23877081014407,"),"
).,2.33399398365416,2.23877081014407,).
)?,2.33399398365416,2.23877081014407,)?
*,2.95759701798455,2.78274522198484,*
**,2.33399398365416,2.23877081014407,**
",",4.18546973657747,3.24180240204308,","
",'",2.33399398365416,2.23877081014407,",'"
",,",2.08864746395425,2.27105457460833,",,"
",,,",2.33399398365416,2.23877081014407,",,,"
",.",2.1929750798952,3.34983918328739,",."
",”",2.33399398365416,2.23877081014407,",”"
-,2.85095503443012,2.81394481156124,-
"-,",4.44142868892163,4.51006136689179,"-,"
--,1.85756274481522,2.38991570667203,--
.,3.49390087258629,2.37107807559618,.
.',3.55163220708808,2.7478713853358,.'
.),2.33399398365416,2.23877081014407,.)
".,",3.36004754364477,2.83096663699148,".,"
..,3.95222456457353,1.97630710599025,..
...,3.24671836288088,2.24479422831072,...
....,2.81146154329063,2.45588000072276,....
.....,2.54814835468722,2.18228721110373,.....
......,2.10713601043741,2.16876984540383,......
.......,2.3385198212391,1.86220756157324,.......
.........,2.14002078336615,1.74916932030963,.........
.............,1.86342564887521,1.47089623384985,.............
..................,2.1001028360489,1.93750505342096,..................
.’,2.33399398365416,2.23877081014407,.’
.’”,2.33399398365416,2.23877081014407,.’”
.”,2.33399398365416,2.23877081014407,.”
/,3.88082690171181,2.95411253224718,/
/?,2.33399398365416,2.23877081014407,/?
0,3.45708712489889,2.14404567159477,0
