word,anger,disgust,fear,joy,sadness,surprise,hope,preproc_word
aback,0,0,0,0,0,0,0,aback
abacus,0,0,0,0,0,0,0,abacu
abandon,0,0,1,0,1,0,0,abandon
abandoned,1,0,1,0,1,0,0,abandon
abandonment,1,0,1,0,1,1,0,abandon
abate,0,0,0,0,0,0,0,abat
abatement,0,0,0,0,0,0,0,abat
abba,0,0,0,0,0,0,0,abba
abbot,0,0,0,0,0,0,0,abbot
abbreviate,0,0,0,0,0,0,0,abbrevi
abbreviation,0,0,0,0,0,0,0,abbrevi
abdomen,0,0,0,0,0,0,0,abdomen
abdominal,0,0,0,0,0,0,0,abdomin
abduction,0,0,1,0,1,1,0,abduct
aberrant,0,0,0,0,0,0,0,aberr
aberration,0,1,0,0,0,0,0,aberr
abeyance,0,0,0,0,0,0,0,abey
abhor,1,1,1,0,0,0,0,abhor
abhorrent,1,1,1,0,0,0,0,abhorr
abide,0,0,0,0,0,0,0,abid
ability,0,0,0,0,0,0,0,abil
abject,0,1,0,0,0,0,0,abject
ablation,0,0,0,0,0,0,0,ablat
ablaze,0,0,0,0,0,0,0,ablaz
abnormal,0,1,0,0,0,0,0,abnorm
aboard,0,0,0,0,0,0,0,aboard
abode,0,0,0,0,0,0,0,abod
abolish,1,0,0,0,0,0,0,abolish
abolition,0,0,0,0,0,0,0,abolit
abominable,0,1,1,0,0,0,0,abomin
abomination,1,1,1,0,0,0,0,abomin
aboriginal,0,0,0,0,0,0,0,aborigin
abort,0,0,0,0,0,0,0,abort
abortion,0,1,1,0,1,0,0,abort
abortive,0,0,0,0,1,0,0,abort
abound,0,0,0,0,0,0,0,abound
abovementioned,0,0,0,0,0,0,0,abovement
abrasion,0,0,0,0,0,0,0,abras
abroad,0,0,0,0,0,0,0,abroad
abrogate,0,0,0,0,0,0,0,abrog
abrupt,0,0,0,0,0,1,0,abrupt
abruptly,0,0,0,0,0,0,0,abruptli
abscess,0,0,0,0,1,0,0,abscess
absence,0,0,1,0,1,0,0,absenc
absent,0,0,0,0,1,0,0,absent
absentee,0,0,0,0,1,0,0,absente
absenteeism,0,0,0,0,0,0,0,absente
absinthe,0,0,0,0,0,0,0,absinth
absolute,0,0,0,0,0,0,0,absolut
absolution,0,0,0,1,0,0,0,absolut
absorbed,0,0,0,0,0,0,0,absorb
absorbent,0,0,0,0,0,0,0,absorb
absorbing,0,0,0,0,0,0,0,absorb
absorption,0,0,0,0,0,0,0,absorpt
abstain,0,0,0,0,0,0,0,abstain
abstention,0,0,0,0,0,0,0,abstent
abstinence,0,0,0,0,0,0,0,abstin
abstract,0,0,0,0,0,0,0,abstract
abstraction,0,0,0,0,0,0,0,abstract
absurd,0,0,0,0,0,0,0,absurd
absurdity,0,0,0,0,0,0,0,absurd
abundance,0,1,0,1,0,0,1,abund
abundant,0,0,0,1,0,0,0,abund
abuse,1,1,1,0,1,0,0,abus
abutment,0,0,0,0,0,0,0,abut
